x,edad,sexo,p_originario
1257,22,M,no
1258,42,H,no
1259,55,H,no
1260,23,M,si
1261,0,M,no
1262,42,M,no
1263,29,M,no
1264,1,H,no
1265,51,H,si
1266,3,H,no
1267,55,H,no
1268,50,M,no
1269,37,M,no
1270,40,H,no
1271,34,M,no
1272,18,M,no
1273,78,H,no
1274,65,H,no
1275,64,H,no
1276,37,M,no
1277,58,M,no
1278,56,M,no
1279,15,H,no
1280,27,M,no
1281,63,H,no
1282,51,H,no
1283,31,M,no
1284,11,M,no
1285,57,M,no
1286,44,H,no
1287,59,H,no
1288,1,M,no
1289,10,H,no
1290,43,H,no
1291,78,M,no
1292,34,H,no
1293,46,M,no
1294,18,M,no
1295,15,H,si
1296,29,H,no
1297,2,M,no
1298,15,M,si
1299,15,H,no
1300,36,M,no
1301,23,M,si
1302,68,M,no
1303,32,M,no
1304,24,M,no
1305,33,H,no
1306,29,H,si
1307,31,H,si
1308,30,M,no
1309,61,H,si
1310,56,M,no
1311,9,H,no
1312,56,M,no
1313,6,M,no
1314,57,M,no
1315,43,H,no
1316,34,H,no
1317,60,H,no
1318,12,H,no
1319,15,M,no
1320,27,H,no
1321,89,H,no
1322,26,M,no
1323,6,H,no
1324,25,H,no
1325,29,H,no
1326,33,H,no
1327,81,H,no
1328,45,M,no
1329,8,M,no
1330,74,H,no
1331,26,M,no
1332,42,H,no
1333,66,H,no
1334,74,M,no
1335,48,M,no
1336,21,M,no
1337,66,M,no
1338,49,H,no
1339,26,H,no
1340,13,H,no
1341,31,H,no
1342,7,H,si
1343,18,H,no
1344,60,M,no
1345,1,M,no
1346,21,H,no
1347,45,M,no
1348,3,H,no
1349,36,M,no
1350,51,M,no
1351,51,M,no
1352,0,H,no
1353,25,M,no
1354,65,H,no
1355,38,M,no
1356,1,M,no
1357,80,M,no
1358,17,H,no
1359,10,H,no
1360,16,M,no
1361,52,H,no
1362,9,M,no
1363,57,M,no
1364,37,H,si
1365,44,H,no
1366,50,M,no
1367,16,H,si
1368,57,H,no
1369,32,H,no
1370,5,H,si
1371,43,M,no
1372,28,H,no
1373,42,M,no
1374,4,M,si
1375,30,H,no
1376,60,M,no
1377,30,H,no
1378,3,M,no
1379,13,M,no
1380,5,M,no
1381,68,M,no
1382,31,M,no
1383,53,M,no
1384,49,H,no
1385,53,M,no
1386,41,H,no
1387,62,H,no
1388,27,M,no
1389,0,M,no
1390,38,H,no
1391,20,H,si
1392,22,M,no
1393,75,H,no
1394,45,M,no
1395,19,M,no
1396,1,H,no
1397,64,H,no
1398,42,H,no
1399,1,M,no
1400,61,H,si
1401,8,H,no
1402,65,M,no
1403,80,M,no
1404,34,H,no
1405,55,M,no
1406,39,H,no
1407,26,M,no
1408,66,M,no
1409,22,M,no
1410,28,H,no
1411,69,H,no
1412,39,M,no
1413,37,M,si
1414,76,H,no
1415,91,M,no
1416,76,H,no
1417,34,H,no
1418,84,H,no
1419,28,M,no
1420,16,H,si
1421,10,H,no
1422,27,M,no
1423,63,M,no
1424,58,H,no
1425,54,M,no
1426,60,H,si
1427,27,M,no
1428,25,M,no
1429,11,H,no
1430,36,H,no
1431,67,H,no
1432,47,M,no
1433,2,H,no
1434,24,M,si
1435,26,H,no
1436,0,H,no
1437,83,H,no
1438,34,M,no
1439,26,H,no
1440,25,M,no
1441,33,M,no
1442,42,H,no
1443,50,H,no
1444,69,M,no
1445,1,M,no
1446,68,H,no
1447,30,M,no
1448,51,M,no
1449,53,M,si
1450,57,M,no
1451,39,H,no
1452,13,M,no
1453,6,M,no
1454,47,H,no
1455,45,M,no
1456,36,H,si
1457,41,M,no
1458,59,M,no
1459,31,H,no
1460,27,M,no
1461,1,H,si
1462,55,H,no
1463,46,M,no
1464,35,H,no
1465,18,H,no
1466,51,M,no
1467,77,H,no
1468,27,H,no
1469,34,M,si
1470,53,M,no
1471,48,H,no
1472,44,H,no
1473,4,M,no
1474,12,M,no
1475,24,M,no
1476,10,M,no
1477,22,H,no
1478,67,M,no
1479,13,H,no
1480,45,M,no
1481,26,M,no
1482,71,M,no
1483,16,H,no
1484,59,H,no
1485,31,H,no
1486,60,M,si
1487,25,M,no
1488,85,M,no
1489,1,M,no
1490,8,H,no
1491,53,M,no
1492,70,M,no
1493,31,H,no
1494,60,H,no
1495,35,H,no
1496,17,M,no
1497,67,H,no
1498,47,H,no
1499,12,M,no
1500,8,H,no
1501,13,H,no
1502,65,M,no
1503,38,H,no
1504,70,H,no
1505,59,M,no
1506,23,M,no
1507,20,H,no
1508,19,H,no
1509,16,M,no
1510,23,M,no
1511,6,M,no
1512,55,M,no
1513,11,M,no
1514,16,M,no
1515,34,M,no
1516,76,M,no
1517,29,M,no
1518,5,H,no
1519,28,M,no
1520,24,M,no
1521,5,M,no
1522,11,M,no
1523,38,H,no
1524,38,M,no
1525,28,H,no
1526,34,M,no
1527,40,H,no
1528,36,M,no
1529,67,H,no
1530,18,M,si
1531,44,M,no
1532,35,H,no
1533,8,H,no
1534,34,H,no
1535,31,H,no
1536,25,M,no
1537,25,M,si
1538,42,M,no
1539,11,H,no
1540,11,M,no
1541,6,M,no
1542,33,M,si
1543,12,H,si
1544,5,M,no
1545,26,M,no
1546,13,H,no
1547,37,H,no
1548,40,M,no
1549,51,H,no
1550,55,H,no
1551,26,M,no
1552,54,H,no
1553,1,M,si
1554,4,M,si
1555,18,M,si
1556,58,H,no
1557,11,H,si
1558,21,H,no
1559,54,M,si
